folder,problem,gen_1,gen_2,gen_3,gen_4,num_attempts,final_plan,valid_action_percent,consecutive_valid_steps,logical_violations,solves_problem,plan_len,gen1_valid_action_percent,gen2_valid_action_percent,gen3_valid_action_percent,gen4_valid_action_percent,gen1_consecutive_valid_steps,gen2_consecutive_valid_steps,gen3_consecutive_valid_steps,gen4_consecutive_valid_steps,gen1_logical_violations,gen2_logical_violations,gen3_logical_violations,gen4_logical_violations
blocksworld,pddl_10_1,(pickup b1) (stack b1 b3) (unstack b5 b3) (putdown b5) (pickup b2) (stack b2 b3) (unstack b6 b9) (putdown b6) (pickup b8) (stack b8 b4) (unstack b7 b4) (putdown b7) (pickup b10) (stack b10 b6) (unstack b9 b6) (putdown b9) (pickup b4) (stack b4 b8) (pickup b3) (stack b3 b1) (pickup b6) (stack b6 b10) (pickup b9) (stack b9 b2),(pickup b1) (stack b1 b3) (unstack b5 b3) (putdown b5) (pickup b2) (stack b2 b9) (unstack b6 b9) (putdown b6) (pickup b8) (stack b8 b4) (unstack b7 b4) (putdown b7) (pickup b10) (stack b10 b6) (unstack b9 b6) (putdown b9) (pickup b4) (stack b4 b8) (pickup b3) (stack b3 b1) (pickup b6) (stack b6 b10) (pickup b9) (stack b9 b2),(pickup b1) (stack b1 b3) (unstack b5 b3) (putdown b5) (pickup b2) (stack b2 b9) (unstack b6 b9) (putdown b6) (pickup b8) (stack b8 b4) (unstack b7 b4) (putdown b7) (pickup b10) (stack b10 b6) (unstack b9 b6) (putdown b9) (pickup b4) (stack b4 b8) (pickup b3) (stack b3 b1) (pickup b6) (stack b6 b10) (pickup b9) (stack b9 b2),(pickup b1) (stack b1 b3) (unstack b5 b3) (putdown b5) (pickup b2) (stack b2 b9) (unstack b6 b9) (putdown b6) (pickup b8) (stack b8 b4) (unstack b7 b4) (putdown b7) (pickup b10) (stack b10 b6) (unstack b9 b6) (putdown b9) (pickup b4) (stack b4 b8) (pickup b3) (stack b3 b1) (pickup b6) (stack b6 b10) (pickup b9) (stack b9 b2),4,(pickup b1) (stack b1 b3) (unstack b5 b3) (putdown b5) (pickup b2) (stack b2 b9) (unstack b6 b9) (putdown b6) (pickup b8) (stack b8 b4) (unstack b7 b4) (putdown b7) (pickup b10) (stack b10 b6) (unstack b9 b6) (putdown b9) (pickup b4) (stack b4 b8) (pickup b3) (stack b3 b1) (pickup b6) (stack b6 b10) (pickup b9) (stack b9 b2),8.333333333333334,2,3,False,24,8.333333333333334,8.333333333333334,8.333333333333334,8.333333333333334,2,2,2,2,3,3,3,3
blocksworld,pddl_10_10,(putdown b1) (unstack b10 b1) (putdown b10) (unstack b1 b4) (stack b1 b10) (unstack b4 b7) (stack b4 b6) (unstack b7 b6) (stack b7 b2) (unstack b2 b10) (stack b2 b7) (unstack b3 b9) (stack b3 b4) (unstack b5 b8) (stack b5 b7) (unstack b8 b3) (stack b8 b1) (unstack b9 b3) (putdown b9) (unstack b6 b4) (putdown b6),(unstack b10 b1) (putdown b10) (unstack b1 b4) (putdown b1) (unstack b4 b7) (putdown b4) (unstack b7 b6) (putdown b7) (unstack b2 b10) (stack b2 b7) (unstack b3 b9) (stack b3 b4) (unstack b5 b8) (stack b5 b7) (unstack b8 b3) (stack b8 b1) (unstack b9 b3) (putdown b9) (unstack b6 b4) (stack b6 b7) (pickup b1) (stack b1 b10),(unstack b10 b1) (putdown b10) (unstack b1 b4) (putdown b1) (unstack b4 b7) (putdown b4) (unstack b7 b6) (putdown b7) (unstack b2 b10) (stack b2 b7) (unstack b3 b9) (stack b3 b4) (unstack b5 b8) (stack b5 b7) (unstack b8 b3) (stack b8 b1) (unstack b9 b3) (putdown b9) (unstack b6 b4) (stack b6 b7) (pickup b1) (stack b1 b10) (pickup b4) (stack b4 b6) (pickup b7) (stack b7 b2) (pickup b9) (stack b9 b3),(unstack b10 b1) (putdown b10) (unstack b1 b4) (putdown b1) (unstack b4 b7) (putdown b4) (unstack b7 b6) (putdown b7) (unstack b2 b10) (stack b2 b7) (unstack b3 b9) (stack b3 b4) (unstack b5 b8) (stack b5 b7) (unstack b8 b3) (stack b8 b1) (unstack b9 b3) (putdown b9) (unstack b6 b4) (stack b6 b7) (pickup b1) (stack b1 b10) (pickup b4) (stack b4 b6) (pickup b7) (stack b7 b2) (pickup b9) (stack b9 b3) (pickup b10) (stack b10 b1),4,(unstack b10 b1) (putdown b10) (unstack b1 b4) (putdown b1) (unstack b4 b7) (putdown b4) (unstack b7 b6) (putdown b7) (unstack b2 b10) (stack b2 b7) (unstack b3 b9) (stack b3 b4) (unstack b5 b8) (stack b5 b7) (unstack b8 b3) (stack b8 b1) (unstack b9 b3) (putdown b9) (unstack b6 b4) (stack b6 b7) (pickup b1) (stack b1 b10) (pickup b4) (stack b4 b6) (pickup b7) (stack b7 b2) (pickup b9) (stack b9 b3) (pickup b10) (stack b10 b1),30.0,9,3,False,30,4.761904761904762,40.90909090909091,32.142857142857146,30.0,1,9,9,9,3,3,3,3
blocksworld,pddl_10_11,(pickup b4) (putdown b4) (unstack b7 b1) (stack b7 b4) (unstack b8 b7) (stack b8 b4) (unstack b10 b6) (putdown b10) (pickup b6) (putdown b6) (unstack b2 b6) (stack b2 b4) (unstack b1 b7) (stack b1 b2) (unstack b5 b3) (stack b5 b1) (unstack b3 b9) (stack b3 b6) (unstack b9 b2) (stack b9 b7) (unstack b6 b10) (stack b6 b3) (pickup b10) (stack b10 b9),(pickup b4) (unstack b7 b1) (stack b7 b4) (unstack b8 b7) (stack b8 b4) (unstack b10 b6) (putdown b10) (pickup b6) (unstack b2 b6) (stack b2 b4) (unstack b1 b7) (stack b1 b2) (unstack b5 b3) (stack b5 b1) (unstack b3 b9) (stack b3 b6) (unstack b9 b2) (stack b9 b7) (unstack b6 b10) (stack b6 b3) (pickup b10) (stack b10 b9),(pickup b4) (putdown b4) (unstack b7 b1) (stack b7 b4) (unstack b8 b7) (stack b8 b4) (unstack b10 b6) (putdown b10) (pickup b6) (putdown b6) (unstack b2 b6) (stack b2 b4) (unstack b1 b7) (stack b1 b2) (unstack b5 b3) (stack b5 b1) (unstack b3 b9) (stack b3 b6) (unstack b9 b2) (stack b9 b7) (unstack b6 b10) (stack b6 b3) (pickup b10) (stack b10 b9),(pickup b4) (unstack b7 b1) (stack b7 b4) (unstack b8 b7) (stack b8 b4) (unstack b10 b6) (putdown b10) (pickup b6) (unstack b2 b6) (stack b2 b4) (unstack b1 b7) (stack b1 b2) (unstack b5 b3) (stack b5 b1) (unstack b3 b9) (stack b3 b6) (unstack b9 b2) (stack b9 b7) (unstack b6 b10) (stack b6 b3) (pickup b10) (stack b10 b9),4,(pickup b4) (unstack b7 b1) (stack b7 b4) (unstack b8 b7) (stack b8 b4) (unstack b10 b6) (putdown b10) (pickup b6) (unstack b2 b6) (stack b2 b4) (unstack b1 b7) (stack b1 b2) (unstack b5 b3) (stack b5 b1) (unstack b3 b9) (stack b3 b6) (unstack b9 b2) (stack b9 b7) (unstack b6 b10) (stack b6 b3) (pickup b10) (stack b10 b9),9.090909090909092,2,3,False,22,12.5,9.090909090909092,12.5,9.090909090909092,3,2,3,2,3,3,3,3
blocksworld,pddl_10_12,``` (unstack b6 b3) (stack b6 b10) (unstack b3 b5) (stack b3 b2) (unstack b4 b7) (stack b4 b1) (unstack b1 b5) (stack b1 b5) (unstack b7 b2) (stack b7 b4) (unstack b8 b4) (stack b8 b3) (unstack b9 b8) (stack b9 b7) (putdown b6) (pickup b10) (stack b10 b6) (putdown b10) ```,``` (unstack b6 b3) (putdown b6) (pickup b10) (stack b10 b6) (unstack b3 b5) (stack b3 b2) (unstack b4 b7) (stack b4 b1) (unstack b1 b5) (stack b1 b5) (unstack b7 b2) (stack b7 b4) (unstack b8 b4) (stack b8 b3) (unstack b9 b8) (stack b9 b7) (putdown b10) ```,``` (unstack b6 b3) (putdown b6) (pickup b10) (stack b10 b6) (unstack b3 b5) (stack b3 b2) (unstack b4 b7) (stack b4 b1) (unstack b1 b5) (stack b1 b5) (unstack b7 b2) (stack b7 b4) (unstack b8 b4) (stack b8 b3) (unstack b9 b8) (stack b9 b7) (putdown b10) ```,``` (unstack b6 b3) (putdown b6) (pickup b10) (stack b10 b6) (unstack b3 b5) (stack b3 b2) (unstack b4 b7) (stack b4 b1) (unstack b1 b5) (stack b1 b5) (unstack b7 b2) (stack b7 b4) (unstack b8 b4) (stack b8 b3) (unstack b9 b8) (stack b9 b7) (putdown b10) ```,4,``` (unstack b6 b3) (putdown b6) (pickup b10) (stack b10 b6) (unstack b3 b5) (stack b3 b2) (unstack b4 b7) (stack b4 b1) (unstack b1 b5) (stack b1 b5) (unstack b7 b2) (stack b7 b4) (unstack b8 b4) (stack b8 b3) (unstack b9 b8) (stack b9 b7) (putdown b10) ```,17.647058823529413,3,3,False,17,11.11111111111111,17.647058823529413,17.647058823529413,17.647058823529413,2,3,3,3,3,3,3,3
blocksworld,pddl_10_13,(pickup b1) (stack b1 b10) (unstack b10 b7) (putdown b10) (pickup b7) (putdown b7) (pickup b6) (unstack b4 b9) (putdown b4) (pickup b9) (stack b9 b2) (unstack b2 b8) (putdown b2) (pickup b8) (stack b8 b1) (unstack b1 b10) (putdown b1) (pickup b10) (stack b10 b4) (pickup b3) (stack b3 b5) (unstack b5 b4) (putdown b5) (pickup b4) (stack b4 b5) (pickup b6) (stack b6 b3),(pickup b1) (stack b1 b10) (unstack b10 b7) (putdown b10) (pickup b7) (putdown b7) (pickup b6) (unstack b4 b9) (putdown b4) (pickup b9) (stack b9 b2) (unstack b2 b8) (putdown b2) (pickup b8) (stack b8 b1) (unstack b1 b10) (putdown b1) (pickup b10) (stack b10 b4) (pickup b3) (stack b3 b5) (unstack b5 b4) (putdown b5) (pickup b4) (stack b4 b5) (pickup b6) (stack b6 b3),(pickup b1) (stack b1 b10) (unstack b10 b7) (putdown b10) (pickup b7) (putdown b7) (pickup b6) (unstack b4 b9) (putdown b4) (pickup b9) (stack b9 b2) (unstack b2 b8) (putdown b2) (pickup b8) (stack b8 b1) (unstack b1 b10) (putdown b1) (pickup b10) (stack b10 b4) (pickup b3) (stack b3 b5) (unstack b5 b4) (putdown b5) (pickup b4) (stack b4 b5) (pickup b6) (stack b6 b3),(pickup b1) (stack b1 b10) (unstack b10 b7) (putdown b10) (pickup b7) (putdown b7) (pickup b6) (unstack b4 b9) (putdown b4) (pickup b9) (stack b9 b2) (unstack b2 b8) (putdown b2) (pickup b8) (stack b8 b1) (unstack b1 b10) (putdown b1) (pickup b10) (stack b10 b4) (pickup b3) (stack b3 b5) (unstack b5 b4) (putdown b5) (pickup b4) (stack b4 b5) (pickup b6) (stack b6 b3),4,(pickup b1) (stack b1 b10) (unstack b10 b7) (putdown b10) (pickup b7) (putdown b7) (pickup b6) (unstack b4 b9) (putdown b4) (pickup b9) (stack b9 b2) (unstack b2 b8) (putdown b2) (pickup b8) (stack b8 b1) (unstack b1 b10) (putdown b1) (pickup b10) (stack b10 b4) (pickup b3) (stack b3 b5) (unstack b5 b4) (putdown b5) (pickup b4) (stack b4 b5) (pickup b6) (stack b6 b3),3.7037037037037037,1,3,False,27,3.7037037037037037,3.7037037037037037,3.7037037037037037,3.7037037037037037,1,1,1,1,3,3,3,3
blocksworld,pddl_10_14,``` (unstack b3 b10) (stack b3 b7) (unstack b2 b9) (stack b2 b3) (unstack b4 b8) (stack b4 b7) (unstack b5 b9) (stack b5 b8) (unstack b1 b6) (stack b1 b10) (unstack b7 b4) (stack b7 b9) (unstack b9 b2) (stack b9 b10) (putdown b10) (pickup b6) (stack b6 b7) (putdown b7) ```,``` (unstack b3 b10) (stack b3 b7) (unstack b2 b9) (stack b2 b3) (unstack b4 b8) (stack b4 b7) (unstack b5 b9) (stack b5 b8) (unstack b1 b6) (stack b1 b10) (unstack b7 b4) (stack b7 b9) (putdown b9) (pickup b10) (stack b10 b1) (putdown b1) (pickup b6) (stack b6 b7) (putdown b7) ```,``` (unstack b3 b10) (stack b3 b7) (unstack b2 b9) (stack b2 b3) (unstack b4 b8) (stack b4 b7) (unstack b5 b9) (stack b5 b8) (unstack b1 b6) (stack b1 b10) (unstack b7 b4) (stack b7 b9) (putdown b7) (pickup b9) (stack b9 b10) (putdown b10) (pickup b6) (stack b6 b7) (putdown b7) ```,``` (unstack b3 b10) (stack b3 b7) (unstack b2 b9) (stack b2 b3) (unstack b4 b8) (stack b4 b7) (unstack b5 b9) (stack b5 b8) (unstack b1 b6) (stack b1 b10) (unstack b7 b4) (stack b7 b9) (putdown b7) (pickup b9) (stack b9 b10) (putdown b10) (pickup b6) (stack b6 b7) (putdown b7) ```,4,``` (unstack b3 b10) (stack b3 b7) (unstack b2 b9) (stack b2 b3) (unstack b4 b8) (stack b4 b7) (unstack b5 b9) (stack b5 b8) (unstack b1 b6) (stack b1 b10) (unstack b7 b4) (stack b7 b9) (putdown b7) (pickup b9) (stack b9 b10) (putdown b10) (pickup b6) (stack b6 b7) (putdown b7) ```,10.526315789473685,2,3,False,19,11.11111111111111,10.526315789473685,10.526315789473685,10.526315789473685,2,2,2,2,3,3,3,3
blocksworld,pddl_10_15,``` (unstack b1 b7) (stack b1 b4) (unstack b2 b4) (putdown b2) (pickup b3) (stack b2 b3) (unstack b10 b3) (stack b10 b9) (unstack b6 b8) (stack b6 b7) (unstack b1 b4) (putdown b1) (pickup b5) (stack b5 b10) (unstack b4 b1) (stack b4 b3) ```,``` (unstack b1 b7) (putdown b1) (unstack b2 b4) (putdown b2) (pickup b3) (stack b2 b3) (unstack b10 b3) (stack b10 b9) (unstack b6 b8) (stack b6 b7) (pickup b4) (stack b4 b3) (pickup b1) (stack b1 b4) (pickup b5) (stack b5 b10) ```,``` (unstack b1 b7) (putdown b1) (unstack b2 b4) (putdown b2) (pickup b3) (stack b2 b3) (unstack b10 b3) (stack b10 b9) (unstack b6 b8) (stack b6 b7) (pickup b4) (stack b4 b3) (pickup b1) (stack b1 b4) (pickup b5) (stack b5 b10) ```,``` (unstack b1 b7) (putdown b1) (unstack b2 b4) (putdown b2) (pickup b3) (stack b2 b3) (unstack b10 b3) (stack b10 b9) (unstack b6 b8) (stack b6 b7) (pickup b4) (stack b4 b3) (pickup b1) (stack b1 b4) (pickup b5) (stack b5 b10) ```,4,``` (unstack b1 b7) (putdown b1) (unstack b2 b4) (putdown b2) (pickup b3) (stack b2 b3) (unstack b10 b3) (stack b10 b9) (unstack b6 b8) (stack b6 b7) (pickup b4) (stack b4 b3) (pickup b1) (stack b1 b4) (pickup b5) (stack b5 b10) ```,31.25,5,3,False,16,12.5,31.25,31.25,31.25,2,5,5,5,3,3,3,3
blocksworld,pddl_10_16,(unstack b1 b3) (stack b1 b10) (putdown b1) (unstack b10 b5) (stack b10 b2) (putdown b10) (unstack b2 b7) (stack b2 b3) (putdown b2) (unstack b3 b6) (stack b3 b6) (putdown b3) (unstack b7 b4) (stack b7 b9) (putdown b7) (unstack b4 b5) (stack b4 b5) (putdown b4) (unstack b5 b10) (stack b5 b10) (putdown b5) (unstack b8 b1) (stack b8 b1) (putdown b8),(unstack b1 b3) (putdown b1) (unstack b2 b7) (putdown b2) (unstack b3 b6) (stack b3 b6) (putdown b3) (unstack b4 b5) (stack b4 b5) (putdown b4) (unstack b5 b10) (stack b5 b10) (putdown b5) (unstack b7 b9) (stack b7 b9) (putdown b7) (unstack b8 b1) (stack b8 b1) (putdown b8) (pickup b10) (stack b10 b2) (putdown b10),(unstack b1 b3) (putdown b1) (unstack b2 b7) (putdown b2) (unstack b3 b6) (stack b3 b6) (putdown b3) (unstack b4 b5) (stack b4 b5) (putdown b4) (unstack b5 b10) (stack b5 b10) (putdown b5) (unstack b7 b9) (stack b7 b9) (putdown b7) (unstack b8 b1) (stack b8 b1) (putdown b8) (pickup b1) (stack b1 b10) (putdown b1) (pickup b10) (stack b10 b2) (putdown b10),(unstack b1 b3) (putdown b1) (unstack b2 b7) (putdown b2) (unstack b3 b6) (stack b3 b6) (putdown b3) (unstack b4 b5) (stack b4 b5) (putdown b4) (unstack b5 b10) (stack b5 b10) (putdown b5) (unstack b7 b9) (stack b7 b9) (putdown b7) (unstack b8 b1) (stack b8 b1) (putdown b8) (pickup b1) (stack b1 b10) (putdown b1) (pickup b10) (stack b10 b2) (putdown b10) (pickup b2) (stack b2 b3) (putdown b2),4,(unstack b1 b3) (putdown b1) (unstack b2 b7) (putdown b2) (unstack b3 b6) (stack b3 b6) (putdown b3) (unstack b4 b5) (stack b4 b5) (putdown b4) (unstack b5 b10) (stack b5 b10) (putdown b5) (unstack b7 b9) (stack b7 b9) (putdown b7) (unstack b8 b1) (stack b8 b1) (putdown b8) (pickup b1) (stack b1 b10) (putdown b1) (pickup b10) (stack b10 b2) (putdown b10) (pickup b2) (stack b2 b3) (putdown b2),3.5714285714285716,1,3,False,28,4.166666666666667,4.545454545454546,4.0,3.5714285714285716,1,1,1,1,3,3,3,3
blocksworld,pddl_10_17,(putdown b2) (unstack b2 b5) (stack b2 b3) (putdown b2) (unstack b1 b10) (stack b1 b8) (putdown b1) (unstack b9 b1) (stack b9 b10) (putdown b9) (unstack b10 b5) (stack b10 b5) (putdown b10) (unstack b8 b7) (stack b8 b6) (putdown b8) (unstack b6 b3) (stack b6 b4) (putdown b6) (unstack b3 b4) (stack b3 b4) (putdown b3) (unstack b4 b8) (stack b4 b7) (putdown b4) (unstack b5 b7) (stack b5 b7) (putdown b5) (unstack b7 b10) (stack b7 b5) (putdown b7) (unstack b9 b1) (stack b9 b10) (putdown b9) (unstack b10 b5) (stack b10 b5) (putdown b10) (unstack b8 b6) (stack b8 b6) (putdown b8) (unstack b6 b4) (stack b6 b4) (putdown b6) (unstack b3 b4) (stack b3 b4) (putdown b3) (unstack b4 b7) (stack b4 b7) (putdown b4) (unstack b5 b7) (stack b5 b7) (putdown b5) (unstack b7 b5) (stack b7 b5) (putdown b7) (unstack b9 b10) (stack b9 b1) (putdown b9) (unstack b1 b8) (stack b1 b8) (putdown b1) (unstack b8 b6) (stack b8 b6) (putdown b8) (unstack b6 b4) (stack b6 b4) (putdown b6) (unstack b3 b4) (stack b3 b4) (putdown b3) (unstack b4 b7) (stack b4 b7) (putdown b4) (unstack b5 b7) (stack b5 b7) (putdown b5) (unstack b7 b5) (stack b7 b5) (putdown b7) (unstack b9 b1) (stack b9 b10) (putdown b9) (unstack b10 b5) (stack b10 b5) (putdown b10) (unstack b8 b6) (stack b8 b6) (putdown b8) (unstack b6 b4) (stack b6 b4) (putdown b6) (unstack b3 b4) (stack b3 b4) (putdown b3) (unstack b4 b7) (stack b4 b7) (putdown b4) (unstack b5 b7) (stack b5 b7) (putdown b5) (unstack b7 b5) (stack b7 b5) (putdown b7) (unstack b9 b10) (stack b9 b1) (putdown b9) (unstack b1 b8) (stack b1 b8) (putdown b1) (unstack b8 b6) (stack b8 b6) (putdown b8) (unstack b6 b4) (stack b6 b4) (putdown b6) (unstack b3 b4) (stack b3 b4) (putdown b3) (unstack b4 b7) (stack b4 b7) (putdown b4) (unstack b5 b7) (stack b5 b7) (putdown b5) (unstack b7 b5) (stack b7 b5) (putdown b7),(pickup b1) (stack b1 b8) (putdown b1) (pickup b2) (stack b2 b3) (putdown b2) (pickup b9) (stack b9 b10) (putdown b9) (pickup b10) (stack b10 b5) (putdown b10) (pickup b5) (stack b5 b7) (putdown b5) (pickup b7) (stack b7 b5) (putdown b7) (pickup b3) (stack b3 b4) (putdown b3) (pickup b4) (stack b4 b7) (putdown b4) (pickup b8) (stack b8 b6) (putdown b8) (pickup b6) (stack b6 b4) (putdown b6) (pickup b9) (stack b9 b1) (putdown b9) (pickup b1) (stack b1 b8) (putdown b1),(pickup b1) (stack b1 b8) (putdown b1) (pickup b2) (stack b2 b3) (putdown b2) (pickup b9) (stack b9 b10) (putdown b9) (pickup b10) (stack b10 b5) (putdown b10) (pickup b5) (stack b5 b7) (putdown b5) (pickup b7) (stack b7 b5) (putdown b7) (pickup b3) (stack b3 b4) (putdown b3) (pickup b4) (stack b4 b7) (putdown b4) (pickup b8) (unstack b8 b7) (stack b8 b6) (putdown b8) (pickup b6) (stack b6 b4) (putdown b6) (pickup b9) (stack b9 b1) (putdown b9) (pickup b1) (stack b1 b8) (putdown b1),(pickup b1) (stack b1 b8) (putdown b1) (pickup b2) (stack b2 b3) (putdown b2) (pickup b9) (stack b9 b10) (putdown b9) (pickup b10) (stack b10 b5) (putdown b10) (pickup b5) (stack b5 b7) (putdown b5) (pickup b7) (stack b7 b5) (putdown b7) (pickup b3) (stack b3 b4) (putdown b3) (pickup b4) (unstack b4 b7) (stack b4 b7) (putdown b4) (pickup b8) (unstack b8 b7) (stack b8 b6) (putdown b8) (pickup b6) (stack b6 b4) (putdown b6) (pickup b9) (stack b9 b1) (putdown b9) (pickup b1) (stack b1 b8) (putdown b1),4,(pickup b1) (stack b1 b8) (putdown b1) (pickup b2) (stack b2 b3) (putdown b2) (pickup b9) (stack b9 b10) (putdown b9) (pickup b10) (stack b10 b5) (putdown b10) (pickup b5) (stack b5 b7) (putdown b5) (pickup b7) (stack b7 b5) (putdown b7) (pickup b3) (stack b3 b4) (putdown b3) (pickup b4) (unstack b4 b7) (stack b4 b7) (putdown b4) (pickup b8) (unstack b8 b7) (stack b8 b6) (putdown b8) (pickup b6) (stack b6 b4) (putdown b6) (pickup b9) (stack b9 b1) (putdown b9) (pickup b1) (stack b1 b8) (putdown b1),5.2631578947368425,2,3,False,38,0.7874015748031497,5.555555555555555,5.405405405405405,5.2631578947368425,1,2,2,2,3,3,3,3
blocksworld,pddl_10_18,(putdown b1) (unstack b2 b10) (stack b2 b9) (putdown b2) (unstack b1 b8) (stack b1 b7) (putdown b1) (unstack b3 b4) (stack b3 b9) (putdown b3) (unstack b4 b6) (stack b4 b10) (putdown b4) (unstack b6 b5) (stack b6 b3) (putdown b6) (unstack b5 b3) (stack b5 b7) (putdown b5) (unstack b7 b5) (stack b7 b3) (putdown b7) (unstack b8 b1) (stack b8 b1) (putdown b8) (unstack b9 b3) (stack b9 b2) (putdown b9) (unstack b10 b4) (stack b10 b4) (putdown b10),(pickup b7) (stack b7 b5) (pickup b3) (stack b3 b9) (pickup b5) (stack b5 b3) (pickup b6) (stack b6 b5) (pickup b4) (stack b4 b10) (pickup b1) (stack b1 b7) (pickup b2) (stack b2 b10) (pickup b8) (stack b8 b1) (pickup b9) (putdown b9) (pickup b10) (stack b10 b4),(pickup b7) (stack b7 b5) (pickup b5) (stack b5 b3) (pickup b3) (stack b3 b9) (pickup b6) (stack b6 b5) (pickup b4) (stack b4 b10) (pickup b1) (stack b1 b7) (pickup b2) (stack b2 b10) (pickup b8) (stack b8 b1) (pickup b9) (putdown b9) (pickup b10) (stack b10 b4),(pickup b7) (stack b7 b5) (pickup b5) (stack b5 b3) (pickup b3) (stack b3 b9) (pickup b6) (stack b6 b5) (pickup b4) (putdown b4) (pickup b10) (stack b10 b4) (pickup b1) (stack b1 b7) (pickup b2) (stack b2 b10) (pickup b8) (stack b8 b1) (pickup b9) (putdown b9),4,(pickup b7) (stack b7 b5) (pickup b5) (stack b5 b3) (pickup b3) (stack b3 b9) (pickup b6) (stack b6 b5) (pickup b4) (putdown b4) (pickup b10) (stack b10 b4) (pickup b1) (stack b1 b7) (pickup b2) (stack b2 b10) (pickup b8) (stack b8 b1) (pickup b9) (putdown b9),5.0,1,3,False,20,3.225806451612903,5.0,5.0,5.0,1,1,1,1,3,3,3,3
