(putdown b2)
(unstack b8 b2)
(stack b8 b7)
(unstack b7 b8)
(putdown b7)
(unstack b3 b1)
(stack b3 b7)
(unstack b1 b3)
(stack b1 b7)
(unstack b4 b8)
(stack b4 b3)
(unstack b8 b4)
(stack b8 b2)
(unstack b2 b8)
(stack b2 b5)
(unstack b5 b4)
(stack b5 b8)
(unstack b6 b7)
(stack b6 b4)
(unstack b4 b3)
(stack b4 b6)
(unstack b3 b7)
(stack b3 b1)
(unstack b1 b3)
(stack b1 b7)
(unstack b7 b2)
(stack b7 b8)
(unstack b8 b7)
(putdown b8)
(unstack b2 b5)
(stack b2 b7)
(unstack b5 b2)
(stack b5 b8)
(unstack b4 b6)
(stack b4 b3)
(unstack b6 b4)
(stack b6 b1)
(unstack b1 b6)
(stack b1 b7)
(unstack b7 b2)
(stack b7 b8)
(unstack b8 b7)
(putdown b8)
(unstack b2 b7)
(stack b2 b5)
(unstack b5 b2)
(stack b5 b8)
(unstack b3 b1)
(stack b3 b7)
(unstack b1 b3)
(stack b1 b7)
(unstack b4 b3)
(stack b4 b6)
(unstack b6 b1)
(stack b6 b4)
(unstack b1 b6)
(stack b1 b7)
(unstack b7 b2)
(stack b7 b8)
(unstack b8 b7)
(putdown b8)
(unstack b2 b7)
(stack b2 b5)
(unstack b5 b2)
(stack b5 b8)
(unstack b3 b7)
(stack b3 b1)
(unstack b1 b3)
(stack b1 b7)
(unstack b4 b6)
(stack b4 b3)
(unstack b6 b4)
(stack b6 b1)
(unstack b1 b6)
(stack b1 b7)
(unstack b7 b2)
(stack b7 b8)
(unstack b8 b7)
(putdown b8)
(unstack b2 b7)
(stack b2 b5)
(unstack b5 b2)
(stack b5 b8)
(unstack b3 b1)
(stack b3 b7)
(unstack b1 b3)
(stack b1 b7)
(unstack b4 b3)
(stack b4 b6)
(unstack b6 b1)
(stack b6 b4)
(unstack b1 b6)
(stack b1 b7)
(unstack b7 b2)
(stack b7 b8)
(unstack b8 b7)
(putdown b8)
